defect_words_unique,design_words_unique,test_words_unique,documentation_words_unique,implementation_words_unique,other_words_unique,common_words
,,,,,helpviewerwindow.error.loadwelcomefile=error,
,,,,,userscript.execoutput=script,
,,,,,assuring,
,,,,,changedcharsetexception,
,,,,,desktop,
,,,,,userscript.scriptclass=script,
,,,,,getscreenbounds,
,,,,,scaling,
,,,,,tomcat4.1,
,,,,,attr_underline,
,,,,,system.exit,
,,,,,generalpreferencespanel.squirrelhomepath=home,
,,,,,privatepoboxlabel,
,,,,,kvpos,
,,,,,setlinenumberalignment,
,,,,,retrynode,
,,,,,favoritesmenubutton,
,,,,,principal,
,,,,,morebutton,
,,,,,transactionhelper,
,,,,,labelrenderer,
,,,,,sectionoutlinesvisible,
,,,,,org.columba.core.taskmanager.itaskmanager,
,,,,,tochandler,
,,,,,box.createglue,
,,,,,expandattributedefaultvalues,
,,,,,autoinit,
,,,,,10mb,
,,,,,purchaseorder,
,,,,,datasetupdateabletablemodelimpl.error.multimatchingrows=muliple,
,,,,,node.getfolderitem,
,,,,,clr1,
,,,,,sec,
,,,,,org.columba.core.filter.filtercriteria,
,,,,,discover,
,,,,,addpluginprops,
,,,,,un-entered,
,,,,,rungc_actionperformed,
,,,,,layerdiagram,
,,,,,978,
,,,,,project.msg_verbose,
,,,,,buildopelementasgn,
,,,,,org.columba.core.gui.frame.focus.focusowner,
,,,,,fullpath,
,,,,,toggledockablewindow,
,,,,,yylhs,
,,,,,hhh-3517,
,,,,,insertenterandindent,
,,,,,tokenizers,
,,,,,sacrificed,
,,,,,peep,
,,,,,unwound,
,,,,,99,
,,,,,mstimeline,
,,,,,.dir,
,,,,,getviewitem,
,,,,,entry.setvalue,
,,,,,isqlentrypanelfactory,
,,,,,editextras.day=day,
,,,,,729,
,,,,,createtablescriptcommand.error.getprimarykey=unable,
,,,,,i+=i++,
,,,,,genmodeladapterfactory,
,,,,,javax.swing.event.changelistener,
,,,,,getcomponenttuplizerfactory,
,,,,,lib/activation-1.1.1.jar,
,,,,,line_number_color,
,,,,,oster,
,,,,,istornpagedetectionenabled,
,,,,,super.gettablecellrenderercomponent,
,,,,,not-used,
,,,,,symmetric,
,,,,,parentmapping.epackagemapping,
,,,,,2500,
,,,,,myrow,
,,,,,fall-through,
,,,,,taskcontainers,
,,,,,setignorecase,
,,,,,skips,
,,,,,origin.adddestination,
,,,,,06-nov-2003,
,,,,,-obsolete,
,,,,,contents,
,,,,,testelements,
,,,,,socket,
,,,,,getparsinghelp,
,,,,,favoritesvfs,
,,,,,869,
,,,,,datasource.java,
,,,,,serialised,
,,,,,jcmdprocesstest.java,
,,,,,getscrolllinecount,
,,,,,unpack,
,,,,,driver/database,
,,,,,asupport.addactionlistener,
,,,,,octet,
,,,,,.height,
,,,,,close.setpreferredsize,
,,,,,informixexceptionformatter.positionlabel=position,
,,,,,aliasmaintsheetfactory.initialize,
,,,,,maybereload,
,,,,,\c-\m-x,
,,,,,tablename_pkey,
,,,,,retains,
,,,,,3040,
,,,,,isrelevanttogoals,
,,,,,_aliaseslistwindow,
,,,,,redirect.png,
,,,,,18-sep-2001,
,,,,,f0000,
,,,,,gid,
,,,,,this.setlocale,
,,,,,xmlresource.option_lax_feature_processing,
,,,,,aboutboxdialog.aboutpanelcreatetime=aboutpanel,
,,,,,textarea.getlastphysicalline,
,,,,,'ip,
,,,,,bshthis,
,,,,,_preprocesskeyevent,
,,,,,sqlscript.enternameoftable=enter,
,,,,,recreatefilterrows,
,,,,,designer.thedesigner.gettodolist,
,,,,,127.0.0.1,
,,,,,unchanged,
,,,,,'sync,
,,,,,user.ygwatestd,
,,,,,'\r\n,
,,,,,idatasettablecontrols,
,,,,,documenthandler,
,,,,,111,
,,,,,t1.tabid,
,,,,,score,
,,,,,595,
,,,,,forego,
,,,,,checkbox.isselected,
,,,,,2.4.0,
,,,,,actionpaste.getinstance,
,,,,,spuriously,
,,,,,unloaded,
,,,,,wizstepcue,
,,,,,expand_path,
,,,,,schemapropertiespanel.printcachefilelocation=print,
,,,,,order.indexof,
,,,,,.buildnode,
,,,,,bind_eval,
,,,,,notread,
,,,,,user.dir,
,,,,,utilundertest,
,,,,,oraclexmltypedatatypecomponent.cellerrormsg=,
,,,,,w/,
,,,,,1968,
,,,,,this.source,
,,,,,dirtyfields==null,
,,,,,removeiana2javamapping,
,,,,,rose2genmodel,
,,,,,gc.draw3drect,
,,,,,peeknamespaceelement,
,,,,,saveuserprops,
,,,,,crcircularinheritance,
,,,,,canonpath,
,,,,,deletetablescommand.progressdialogtitle=analyzing,
,,,,,regexes,
,,,,,1705,
,,,,,getactionsetforaction,
,,,,,userscript.execontargets=execute,
,,,,,mysql-specific,
,,,,,cfr,
,,,,,referenced_column,
,,,,,figclone.seperator,
,,,,,jedit.home,
,,,,,05/21/01,
,,,,,junit.framework.testsuite,
,,,,,20030918,
,,,,,/fn,
,,,,,zero-or-more,
,,,,,ipchelper.executecommand,
,,,,,works,
,,,,,v.viewname,
,,,,,javax.swing.event.treeselectionlistener,
,,,,,selectallbutton,
,,,,,-rm,
,,,,,viewing,
,,,,,tabvalues.length,
,,,,,terminated,
,,,,,1090,
,,,,,dataset2,
,,,,,tabs.addtab,
,,,,,this.addressbookmodel,
,,,,,moveup,
,,,,,sp.setborder,
,,,,,compatiblity,
,,,,,endtimeexcl,
,,,,,block.type.proc,
,,,,,/release/snapshot/,
,,,,,threadprogress,
,,,,,removealltreenodesaction,
,,,,,\nno,
,,,,,saveabbrevs,
,,,,,editwhercolssheet.output=output,
,,,,,setsize,
,,,,,20030621,
,,,,,grent,
,,,,,this.maximumrangevalue.addverifylistener,
,,,,,c-l.,
,,,,,replay,
,,,,,frag,
,,,,,updatepreferencespanel.enableautoupdate=enable,
,,,,,columnindex,
,,,,,droptabledialog.cascadelabel=cascade,
,,,,,tudresden.ocl.parser.node.aunaryunaryexpression,
,,,,,helpsearchpanel,
,,,,,2001-01-01,
,,,,,uid=0,
,,,,,_cut,
,,,,,f.oclastype,
,,,,,alter_time,
,,,,,java.net.socket,
,,,,,ran,
,,,,,alnum,
,,,,,initmisc,
,,,,,algorithm.provider,
,,,,,conforms,
,,,,,www.apache.org/foundation/,
,,,,,oracleplugin.hint=preferences,
,,,,,sqlpropertyresult,
,,,,,sourcebase,
,,,,,tabtaggedvalues.class,
,,,,,non-mutable,
,,,,,"2,2,9,1",
,,,,,__char__,
,,,,,tableheader.getwidth,
,,,,,oracle.displayssequencedetails=display,
,,,,,spacings,
,,,,,0x3fff_ffff,
,,,,,inclusion,
,,,,,2^31,
,,,,,enabletextindexinglabel.setenabled,
,,,,,jruby-3625,
,,,,,unregisters,
,,,,,nodrop,
,,,,,allocationexpression,
,,,,,metric,
,,,,,getdesc,
,,,,,rrule,
,,,,,bufferclosed,
,,,,,non-forked,
,,,,,kelemen,
,,,,,submitted,
,,,,,ftp-service,
,,,,,jcomponent.setfont,
,,,,,i18n.tranlations=translations,
,,,,,popupeditableiopanel.exportsuccess=export,
,,,,,addruleset,
,,,,,double.max_exponent,
,,,,,centerpanel.setborder,
,,,,,clearregister,
,,,,,treehandler,
,,,,,importer,
,,,,,astutil.createparent,
,,,,,sizelabel.setfont,
,,,,,locale-sensitive,
,,,,,key/value,
,,,,,geticonforfile,
,,,,,inheritrefs,
,,,,,consist,
,,,,,geteditpane,
,,,,,_tooltip,
,,,,,autosort,
,,,,,provider.getdefaultcriteria,
,,,,,-0x4000_0000,
,,,,,prelaunchhelperimpl.restorefailedmessage=restore,
,,,,,tabprops.class,
,,,,,skipempty,
,,,,,-nco,
,,,,,15-nov-93,
,,,,,.gui,
,,,,,suffices,
,,,,,not-default,
,,,,,lexing,
,,,,,aspell.exe,
,,,,,ecorepackage,
,,,,,791,
,,,,,boolean.true,
,,,,,targetpackage.setname,
,,,,,udts,
,,,,,_bigport.setbounds,
,,,,,intervaldelegate,
,,,,,decisionuncategorized,
,,,,,markerchangeevent,
,,,,,schemapropertiescontroller.cachefilepath=cache,
,,,,,excelsettingspanel.sheetname=sheet,
,,,,,toolbareditdialog,
,,,,,tibetan,
,,,,,iso-2022-cn-ext,
,,,,,parentmousehandler,
,,,,,model.gettable,
,,,,,getruleset,
,,,,,cellrenderer,
,,,,,recordmacro,
,,,,,g�be,
,,,,,res.resultfilename,
,,,,,interection,
,,,,,getpath,
,,,,,super.createdefaultconfiguration,
,,,,,x\n,
,,,,,\\,
,,,,,defaultclause,
,,,,,outraster,
,,,,,java.sql.types.date,
,,,,,destinationfolder.gettreepath,
,,,,,maximal,
,,,,,sweep,
,,,,,521,
,,,,,workthreadpool,
,,,,,email_open.png,
,,,,,metatype,
,,,,,nichts,
,,,,,'not,
,,,,,collectionsnapshot,
,,,,,isaclass,
,,,,,waitforrequests,
,,,,,quickincrementalsearch,
,,,,,gridlayout,
,,,,,imageloader,
,,,,,parent.getfirstchild,
,,,,,gbc,
,,,,,alloffenders,
,,,,,1535,
,,,,,decompressed,
,,,,,face,
,,,,,mutablegraphmodel,
,,,,,.setenabled,
,,,,,folder.getconfiguration,
,,,,,allowduplicatevalues,
,,,,,item.getcolor,
,,,,,this.varname,
,,,,,506,
,,,,,com.miginfocom.ashape.interaction.interactionlistener,
,,,,,crosshairdatasetindex,
,,,,,05-may-2005,
,,,,,timeseriesdataitem,
,,,,,one-time,
,,,,,-rename,
,,,,,java.sql.types,
,,,,,childcolumn,
,,,,,hibernateconfigpanel.factoryprovider=sessionfactoryimpl,
,,,,,information_schema.sequences,
,,,,,resyncing,
,,,,,javax.naming.sizelimitexceededexception,
,,,,,_exportdriverschk.addactionlistener,
,,,,,757,
,,,,,.getframemediator,
,,,,,jetnature.setjavasourcecontainer,
,,,,,contact/group,
,,,,,ufs,
,,,,,tooltiptext,
,,,,,3792,
,,,,,1.8.6,
,,,,,sqlxml,
,,,,,14-mar-2002,
,,,,,af_inet,
,,,,,strips,
,,,,,c+,
,,,,,jdk1.4.1,
,,,,,dependencies,
,,,,,^=,
,,,,,skinlf_12,
,,,,,sheesh,
,,,,,mysql.msgtablecreated=table,
,,,,,consideration,
,,,,,getheaderitemlists,
,,,,,1d0ff,
,,,,,anevent,
,,,,,esp,
,,,,,mount,
,,,,,grab,
,,,,,testregexfunction,
,,,,,urltext,
,,,,,dbutil.error.missingtable=getforeignkeysql,
,,,,,rowindex,
,,,,,defaultdatabaseexpander,
,,,,,datasetviewereditabletablepanel.deleterosquestion=do,
,,,,,pi,
,,,,,reloaddirectory,
,,,,,0-repeats,
,,,,,iscontent,
,,,,,labeloutlinepaint,
,,,,,mockupdatedirectory,
,,,,,send-later-16.png,
,,,,,572,
,,,,,getitem,
,,,,,495,
,,,,,reinserted,
,,,,,notably,
,,,,,setexportedkeys,
,,,,,verticalzoom,
,,,,,newfile,
,,,,,exportdone,
,,,,,itemstatechanged,
,,,,,triggerdetailstab.title=details,
,,,,,item.getroot,
,,,,,java.lang.reflect.constructor/method,
,,,,,org.columba.mail.gui.composer.text.texteditorcontroller,
,,,,,sqlscriptpreferencespanel.updaterefactiontooltip=append,
,,,,,"2,4,2,4",
,,,,,meta-inf/manifest.mf,
,,,,,un,
,,,,,createhorizontalstackedbarchart,
,,,,,java.io.printstream,
,,,,,professiontextfield,
,,,,,cp420,
,,,,,yugoslavia,
,,,,,mailed,
,,,,,domaincrosshairvisible,
,,,,,wildcard,
,,,,,specialcolumnmapping.null=null,
,,,,,2004-03-08,
,,,,,filetoconvert.touri,
,,,,,xmlstring,
,,,,,org.eclipse.emf.codegen.merge.java.facade.ast.astjabstracttype,
,,,,,non-signature,
,,,,,ar,
,,,,,perl,
,,,,,org.columba.api.command.icommand,
,,,,,columba.color,
,,,,,persistant,
,,,,,loadpostions,
,,,,,structuralfeature,
,,,,,int-ranged,
,,,,,enforce,
,,,,,graph.formats=formats,
,,,,,block_caret_enabled,
,,,,,833,
,,,,,urispec,
,,,,,autosave,
,,,,,'at,
,,,,,userscript.selscripttoedit=please,
,,,,,.5,
,,,,,numberformatexception,
,,,,,syntaxplugin.touppercase=touppercase,
,,,,,fixedlennullinsource,
,,,,,current_value,
,,,,,library.cmutilities,
,,,,,normalized,
,,,,,defaultconfiguration,
,,,,,setheaders,
,,,,,milli-second,
,,,,,110yyyyy,
,,,,,fnfexception,
,,,,,collectionsmodelinterpreter,
,,,,,mangle,
,,,,,.gettechnicalname,
,,,,,firescrollevent,
,,,,,matched,
,,,,,-v+stubversion,
,,,,,org.columba.contact/,
,,,,,'long,
,,,,,pristine,
,,,,,loglistmodel,
,,,,,contextbutton,
,,,,,affinetransform,
,,,,,optionsitem,
,,,,,value=persistentcollection,
,,,,,/taskdefs,
,,,,,short-cut-key,
,,,,,showrecentmenuitem,
,,,,,item.seticon,
,,,,,parenttablename,
,,,,,loos,
,,,,,primaryexpression,
,,,,,label.settooltiptext,
,,,,,transactioncomplete,
,,,,,deletesaredetected,
,,,,,b_lyear.addactionlistener,
,,,,,cc.xywh,
,,,,,corrective,
,,,,,iload_3,
,,,,,export-only,
,,,,,equation,
,,,,,synthesize,
,,,,,createmailbox,
,,,,,javax.swing.jtree,
,,,,,super.setvisible,
,,,,,emailaddresses,
,,,,,jis,
,,,,,overwriteoptionscheckbox,
,,,,,getmarkline,
,,,,,denial,
,,,,,pre-release,
,,,,,syntaxplugin.autocorr=autocorr,
,,,,,isconnectionvalid,
,,,,,org.columba.calendar.store.api.istorelistener,
,,,,,propertyresults,
,,,,,.checktext,
,,,,,out-of-date,
,,,,,chat,
,,,,,rangeaxes,
,,,,,out-of-dateness,
,,,,,11ff,
,,,,,recreated,
,,,,,improves,
,,,,,post-insert-style,
,,,,,foo/bar,
,,,,,getjchbitalic,
,,,,,gettopstoadd,
,,,,,label2,
,,,,,getinsertintosql,
,,,,,hibernateprefstab.title=hibernate,
,,,,,popnamespaceelement,
,,,,,changeselection,
,,,,,stead,
,,,,,2100,
,,,,,.getactivesessions,
,,,,,tidyup,
,,,,,sendbuttoncontroller,
,,,,,name/path,
,,,,,getsourcepathsettings,
,,,,,non-generated,
,,,,,adequately,
,,,,,netprotocolbufferedio,
,,,,,mtransition,
,,,,,crlfcrlf,
,,,,,sub-figs,
,,,,,hereafter,
,,,,,getlabelresource,
,,,,,offsety,
,,,,,setdividersize,
,,,,,savepositions,
,,,,,fillzoomrectangle,
,,,,,htmlviewerpanel.error.processhyperlink=error,
,,,,,color=,
,,,,,797,
,,,,,lvf,
,,,,,backup.directory,
,,,,,contextually,
,,,,,checkbox.setbackground,
,,,,,net.sourceforge.squirrel_sql.fw.sql.isqldatabasemetadata,
,,,,,show_line_nbrs,
,,,,,propertyfile,
,,,,,abgebrochen,
,,,,,.allimportedelements-,
,,,,,collectionaliases,
,,,,,0370,
,,,,,kiyun,
,,,,,premature,
,,,,,link.getfont,
,,,,,_schemas,
,,,,,912,
,,,,,httprequesthdr,
,,,,,areturn,
,,,,,defaultaccountcheckbox,
,,,,,getprevvisibleline,
,,,,,mode_decode,
,,,,,grows,
,,,,,.so,
,,,,,.getsessionmanager,
,,,,,.setborder,
,,,,,crmulticomposite,
,,,,,nagoya,
,,,,,getcatalogname,
,,,,,-8826914717673025881l,
,,,,,comp,
,,,,,uphold,
,,,,,anythign,
,,,,,memorypanel.gcstatus=,
,,,,,org.argouml.cognitive,
,,,,,sqlbookmark.enterdescription=please,
,,,,,this.getentityname,
,,,,,annotations,
,,,,,max_auto_connect_retry_time,
,,,,,remarks,
,,,,,getdirectoryscanner,
,,,,,magesh,
,,,,,sub-classdiagrams,
,,,,,\\v,
,,,,,max=2147483647,
,,,,,dialectutils.columncommentunsupported=,
,,,,,button.addmouselistener,
,,,,,floatdockablewindow,
,,,,,getselectionstartendonline,
,,,,,triggerdetailstab.hint=display,
,,,,,workbenchcolors.getactivegradientpercents,
,,,,,getleftdockingarea,
,,,,,supportscatalogsinprocedurecalls,
,,,,,overload,
,,,,,4.5.2.11,
,,,,,createpropertyrefconstraints,
,,,,,cdata,
,,,,,columnlistdialog.cancelbuttonlabel=cancel,
,,,,,pdf,
,,,,,zag,
,,,,,encoding-specific,
,,,,,graphics2d,
,,,,,getlocalestore,
,,,,,charset=windows-1251,
,,,,,areequal,
,,,,,getprofileforname,
,,,,,335,
,,,,,panel.add,
,,,,,netbeanssqlentrypanel,
,,,,,comment-type,
,,,,,crossjoins.add,
,,,,,next.getsource,
,,,,,collapsepath,
,,,,,361,
,,,,,postexenode,
,,,,,titlebar.setmidcolor,
,,,,,padidxtmp,
,,,,,ifne,
,,,,,bulletpaint,
,,,,,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,
,,,,,abreviation,
,,,,,oddly,
,,,,,graph.hidescrollbars=hide,
,,,,,hql2,
,,,,,bbody,
,,,,,redone,
,,,,,itemlabelgenerator,
,,,,,'type,
,,,,,801,
,,,,,south-west,
,,,,,"200,200",
,,,,,org.argouml.application.events.argogeneratorevent,
,,,,,labelbackgroundpaint,
,,,,,f1.invoke,
,,,,,"0,0,2,0",
,,,,,setstyles,
,,,,,numberformat,
,,,,,recurrent,
,,,,,aborted,
,,,,,jonas-specific,
,,,,,274,
,,,,,estringtostringmapentryimpl,
,,,,,.createuniquekey,
,,,,,positionen,
,,,,,1229,
,,,,,re.getmatchenumeration,
,,,,,ssequence,
,,,,,scaled,
,,,,,01-sep-2003,
,,,,,self.ownedelement,
,,,,,.loadclass,
,,,,,targeterror,
,,,,,uh-oh,
,,,,,geteasymockmessagehandler,
,,,,,postdata,
,,,,,intro,
,,,,,notationchanged,
,,,,,hasfocus,
,,,,,convienience,
,,,,,\\s,
,,,,,mssql.scriptingoptionsdlg=scripting,
,,,,,bytes,
,,,,,thelist,
,,,,,removesessionlistener,
,,,,,preparedstatementmap,
,,,,,classvisitor,
,,,,,'.java,
,,,,,alphanum_hi,
,,,,,sqlresultexecuterpanel.nonstickypanel=,
,,,,,v2r05.00.00.11,
,,,,,doload,
,,,,,net.sourceforge.squirrel_sql.client.session.mainpanel.basemainpaneltab,
,,,,,indexing,
,,,,,sessionid=value,
,,,,,non-empty,
,,,,,pleasewaitdialog.pleasewait=please,
,,,,,getfirstfileextension,
,,,,,.setproperty,
,,,,,3-byte,
,,,,,syntax.switchingnotsupported=switching,
,,,,,04-jul-2003,
,,,,,subpackages,
,,,,,implementer,
,,,,,/adr,
,,,,,getfontmetrics,
,,,,,breakjump,
,,,,,_driverslistwindow,
,,,,,chartmouselistener,
,,,,,tree.getfirsttextpart,
,,,,,domainlength,
,,,,,item_label_paint,
,,,,,this.chardata,
,,,,,linemanager,
,,,,,installdefaultdriversaction.error.selectingwindow=error,
,,,,,sqltokencontext.minus,
,,,,,abc,
,,,,,admittedly,
,,,,,umlplaintextdocument,
,,,,,resource.resource__is_tracking_modification,
,,,,,length/precision/scale,
,,,,,directoryscanner,
,,,,,covered,
,,,,,firefox,
,,,,,constants.putfield,
,,,,,supportscoresqlgrammar,
,,,,,header-list,
,,,,,usethetastylejoin,
,,,,,one-shot,
,,,,,unexpired,
,,,,,axis_gap,
,,,,,zipfile.getentries,
,,,,,queried,
,,,,,1335,
,,,,,863,
,,,,,610,
,,,,,1247,
,,,,,mssql.allviews=all,
,,,,,1269,
,,,,,zzzzzzzz,
,,,,,1044f,
,,,,,1214,
,,,,,treefactoryimpl,
,,,,,guessbodycontenttype,
,,,,,rsrcbundlebasename,
,,,,,-1.0,
,,,,,folderremoved,
,,,,,sqlparam.inputparametervalues=please,
,,,,,textareadisposed,
,,,,,recycle,
,,,,,mapdataset.value=value,
,,,,,value.length,
,,,,,schemapropertiescontroller.cachedeletefailed=could,
,,,,,xd,
,,,,,shrunk,
,,,,,jeditlauncherostask,
,,,,,nativethread.setpriority,
,,,,,testclasses,
,,,,,featurechange,
,,,,,usesecondlevelcache,
,,,,,bytecodes,
,,,,,marc,
,,,,,notifychangedtoviewerrefresh,
,,,,,_tree.getlastselectedpathcomponent,
,,,,,getsecondary2,
,,,,,crlf.lf,
,,,,,sortstring,
,,,,,semicolon,
,,,,,++modcount,
,,,,,hibernateattribuitedataset.tablecols=table,
,,,,,datasettodomainaxismap,
,,,,,xvalues,
,,,,,i18n.locales=locales,
,,,,,cp870,
,,,,,setintegerproperty,
,,,,,numerics,
,,,,,disablesslconnectionradiobutton,
,,,,,19-mar-2007,
,,,,,enhanceddialog,
,,,,,userscript.enterscriptclass=please,
,,,,,beanshellscripts,
,,,,,append_features,
,,,,,euc-jp,
,,,,,backed_up,
,,,,,setdraginprogress,
,,,,,20-nov-2003,
,,,,,buildpostexe,
,,,,,synchron,
,,,,,configpanel,
,,,,,isbackgroundmode,
,,,,,reallyexit,
,,,,,36,
,,,,,sessionid,
,,,,,jmeterutil,
,,,,,com,
,,,,,.doctype,
,,,,,data_type,
,,,,,initializecopycommand,
,,,,,2001-2011,
,,,,,mappingfactoryimpl,
,,,,,ecore2ecorefactoryimpl,
,,,,,actionautocritique,
,,,,,.getresources,
,,,,,stylepanelfigtext,
,,,,,drawcross,
,,,,,releasing,
,,,,,jruby-3649,
,,,,,generatetoppath,
,,,,,compiler/interpreter,
,,,,,getdirectoryfield,
,,,,,this.colorspool.put,
,,,,,axislinepaint,
,,,,,tidily,
,,,,,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,
,,,,,criteriaquery.generatesqlalias,
,,,,,.getmethod,
,,,,,visually,
,,,,,.required,
,,,,,casiness,
,,,,,_currentaliasinfos,
,,,,,commandsmenubutton,
,,,,,pathcompartmentcontainer,
,,,,,ticket,
,,,,,preferencespanel.class,
,,,,,rangegridlinestroke,
,,,,,rotationanchor,
,,,,,getsystemtextfont,
,,,,,bigport.setfilled,
,,,,,editaction.invoke,
,,,,,udf,
,,,,,dotnode.usethetastyleimplicitjoins,
,,,,,optimisticcache,
,,,,,95,
,,,,,05-apr-2004,
,,,,,1123,
,,,,,invokelastaction,
,,,,,tabchecklist,
,,,,,non-closures,
,,,,,confuses,
,,,,,popupeditableiopanel.exporterror4=export,
,,,,,datasetupdateabletablemodelimpl.error.tabledbmismatch=there,
,,,,,types.datalink,
,,,,,class/issetgenfeature.javadoc.override.javajetinc,
,,,,,begin/rescue,
,,,,,b/w,
,,,,,proxied,
,,,,,evalstate,
,,,,,expires,
,,,,,.convertcolumnindextomodel,
,,,,,grid-line,
,,,,,view-,
,,,,,hello,
,,,,,yylex,
,,,,,-i-,
,,,,,released,
,,,,,.addpropertylistener,
,,,,,+any+,
,,,,,othercountrylabel,
,,,,,comma-separated,
,,,,,tablecellrenderer,
,,,,,1513,
,,,,,graph.printgraph=print,
,,,,,setdrawbaroutline,
,,,,,org.jivesoftware.smack.packet.presence.mode,
,,,,,self.importedelement,
,,,,,javax.swing.event.menulistener,
,,,,,tofile,
,,,,,invokefeature,
,,,,,structlayoutbuilder,
,,,,,.registertreeselectionlistener,
,,,,,beeping,
,,,,,getdockablewindow,
,,,,,databasemetadata.class,
,,,,,dockingmanager,
,,,,,anchored,
,,,,,deprecation,
,,,,,mapping.epackagemapping,
,,,,,jmeter.httpsampler,
,,,,,factoryproviderdialog.cancel=cancel,
,,,,,restores,
,,,,,multipart/mixed,
,,,,,taskpanel,
,,,,,getactions,
,,,,,.getpersistentid,
,,,,,exceeded,
,,,,,ecore2xmlresourcefactoryimpl,
,,,,,classloader.getresource,
,,,,,shapelocation,
,,,,,addresscombobox,
,,,,,copytablescommand.loadingprefix=analyzing,
,,,,,destuid,
,,,,,i18n.changeapplicationdefaultlocalenote=example,
,,,,,setexistschangedaction,
,,,,,indexurl,
,,,,,dodoubleclick,
,,,,,sqltab.title=sql,
,,,,,saveposition,
,,,,,renderinghints.value_render_quality,
,,,,,segmented,
,,,,,notifications,
,,,,,getpluginjars,
,,,,,renderer.bar_outline_width_threshold,
,,,,,t1.inc_val,
,,,,,linking,
,,,,,bufferopened,
,,,,,readmarkers,
,,,,,980,
,,,,,checks,
,,,,,setfunctionalmode,
,,,,,genmodelfactory,
,,,,,testmc,
,,,,,gotoprevpage,
,,,,,rangeaxislocation,
,,,,,setlookandfeel,
,,,,,vertical/horizontal,
,,,,,featuremapentry,
,,,,,international,
,,,,,destinationtable,
,,,,,jpanel1.add,
,,,,,.internalframeopenedorclosed,
,,,,,lload_3,
,,,,,nan,
,,,,,stringent,
,,,,,sqlscriptpreferencespanel.qualifycheckboxlabel=qualify,
,,,,,tcpsampler.filename,
,,,,,listener.setshowsqlstatements,
,,,,,p1.add,
,,,,,mongosourceelement.threadsallowedtoblockforconnectionmultiplier,
,,,,,pathitemattrs,
,,,,,invalidateselectedlines,
,,,,,is_something,
,,,,,javax.swing.jframe,
,,,,,load_1,
,,,,,setpagetitle,
,,,,,688,
,,,,,updatemanagerdialog.checkbuttonlabel=check,
,,,,,locationlabel.setfont,
,,,,,e000,
,,,,,el.getproperty,
,,,,,numbertickunit,
,,,,,'dot,
,,,,,savegifaction2,
,,,,,0-byte,
,,,,,editwherecolspanel.limitcolsincellhint=limit,
,,,,,group=,
,,,,,backspacing,
,,,,,seqid,
,,,,,localhost:8080/wsmyupper.wsdl,
,,,,,nativesqlqueryreturn,
,,,,,single-quotes,
,,,,,persistencemanager.getinstance,
,,,,,this.forcecacherefresh,
,,,,,01-jun-2005,
,,,,,editextras.reformatfailed=reformat,
,,,,,source-folder,
,,,,,relay,
,,,,,coltypemapper,
,,,,,stripped,
,,,,,filecontainers,
,,,,,sethighlightinterval,
,,,,,.getcurrentsampler,
,,,,,org.tigris.gef.ui.popupgenerator,
,,,,,javax.swing.table.abstracttablemodel,
,,,,,jonasroot,
,,,,,specificationpath,
,,,,,mysql.structureanddata=structure,
,,,,,settab,
,,,,,loadmodecatalog,
,,,,,euc-kr,
,,,,,jorphanutils.split,
,,,,,0.4.1,
,,,,,isvisibilityvisible,
,,,,,axis.setrangetype,
,,,,,getter/setter,
,,,,,-102,
,,,,,initializeproperties,
,,,,,urlgenerator,
,,,,,crzerolengthedge,
,,,,,pane.gettab,
,,,,,updatebufferstatus,
,,,,,1073741824,
,,,,,drawbaroutline,
,,,,,max_conn_retries,
,,,,,'true,
,,,,,sqlresultexecuterpanel.cancelerequested=query,
,,,,,plgml,
,,,,,frame.getline,
,,,,,31,
,,,,,source==dest,
,,,,,unix/windows,
,,,,,xload,
,,,,,nullsaresortedhigh,
,,,,,titlebar,
,,,,,unsubscribedfolders,
,,,,,.getzoom,
,,,,,csvsettingspanel.csvsettings=csv,
,,,,,scrolldown,
,,,,,bb,
,,,,,accessflags,
,,,,,roaster,
,,,,,harmony-21,
,,,,,classvar-related,
,,,,,supportssubqueriesinins,
,,,,,dragdropend,
,,,,,isurl,
,,,,,hidewaitcursor,
,,,,,jmeterguicomponent.createtestelement,
,,,,,framemanager.close,
,,,,,c.getclass,
,,,,,centerpanel.setlayout,
,,,,,myaliaseslistener,
,,,,,558,
,,,,,run.getparams,
,,,,,imposed,
,,,,,httpsampleresult.getbytes,
,,,,,jar-file,
,,,,,treepackageimpl,
,,,,,gotourl,
,,,,,netrexx,
,,,,,grantor,
,,,,,movegapstart,
,,,,,editwhercolssheet.close=close,
,,,,,writechartasjpeg,
,,,,,addleftofscrollbar,
,,,,,rb_class_boot,
,,,,,boxandwhiskerxydataset,
,,,,,31bf,
,,,,,803,
,,,,,spacestotabs,
,,,,,postgresplugin.showproceduresource=show,
,,,,,stringtolong/reading,
,,,,,rangeaxis.setanchoredrange,
,,,,,collections.list,
,,,,,buildundef,
,,,,,1d000,
,,,,,lenient,
,,,,,non-remote,
,,,,,tabhash,
,,,,,variant,
,,,,,iodh,
,,,,,-nlabel,
,,,,,chatlist.get,
,,,,,databaseobjecttype.schema,
,,,,,channnel,
,,,,,panecolumnheader,
,,,,,lining,
